"stop_id","fermata","descrizione","lat","lon"
690,4771,"Maiano Alberti",45.432774,12.141248
691,2351,"Pianiga Accoppe'",45.45311,12.047221
692,2352,"Pianiga Accoppe'",45.452881,12.047229
693,2353,"Pianiga Bosco",45.45454,12.038601
694,2354,"Pianiga Bosco",45.454746,12.038576
695,2355,"Pianiga",45.456375,12.030178
696,2356,"Pianiga Roma",45.45599,12.030021
697,2357,"Pianiga Roma",45.45697,12.021329
698,2358,"Pianiga Roma",45.457039,12.021542
699,2359,"Rivale Bosco",45.456036,12.012636
700,2360,"Pianiga Bosco",45.456173,12.012517
701,2361,"Rivale Chiesa",45.457279,12.006639
702,2362,"Rivale Chiesa",45.457153,12.006528
703,2363,"Mellaredo Cavinello",45.459576,11.993154
704,2364,"Pianiga Fratte",45.461864,12.052288
705,2365,"Pianiga Fratte",45.462029,12.052318
706,2366,"Bernini Di Vittorio",45.436424,12.147483
707,2367,"Borromini Bernini",45.435265,12.141922
708,2368,"Maiano Alberti",45.432892,12.141052
709,2370,"Ballo' Stazione",45.458889,12.072989
710,2371,"Ballo' Stazione",45.459087,12.072437
711,2372,"Ballo' Cimitero",45.459969,12.077374
712,2373,"Ballo' Cimitero",45.460117,12.077264
713,2374,"Ballo' Civico 22",45.455818,12.072736
714,2375,"Ballo' Civico 22",45.455982,12.072563
715,2376,"Ballo' FS",45.452446,12.072693
716,2377,"Ballo' FS",45.452106,12.072574
717,2378,"Cazzago Trasimeno",45.443222,12.074986
718,2379,"Cazzago Trasimeno",45.443054,12.074777
719,2380,"Mira Ginestre",45.450268,12.119853
720,2381,"Miranese Ginestre",45.450127,12.119335
721,2382,"Mira Argine",45.457291,12.11904
722,2383,"Mira Argine",45.457417,12.118905
723,2384,"SFMR Spinea",45.490921,12.176497
724,2385,"Mazzocco",45.552647,12.267636
725,2386,"Marano",45.464985,12.117488
726,2387,"Marano",45.465389,12.11718
727,2388,"Marano Caltana",45.465096,12.118353
728,2389,"Marano Caltana",45.465137,12.118229
729,2390,"Mirano Trescievoli",45.469433,12.117027
730,2391,"MIrano Trescievoli",45.469803,12.118571
731,2392,"Mirano Olmo",45.481529,12.117043
732,2393,"MIrano Olmo",45.481396,12.116799
733,2394,"MiranoTaglio Sinistro",45.477741,12.117394
734,2395,"MiranoTaglio Sinistro",45.477829,12.117056
735,2396,"Mirano Matteotti",45.494164,12.0928
736,2397,"Mira Nazionale",45.435661,12.128793
737,2398,"Mirai Nazionale",45.435684,12.128541
738,2399,"Porara Gidoni",45.474464,12.108866
739,2400,"Porara Gidoni",45.474216,12.108633
740,2401,"Busa di Vigonza Andrea",45.431129,11.969812
741,2402,"Busa di Vigonza Andrea",45.430771,11.970551
742,2403,"Vetrego",45.467941,12.107917
743,2404,"Vetrego Vetrego",45.467861,12.107899
744,2405,"Scaltenigo Formigo",45.469711,12.093561
745,2406,"Corte Piazza Monumento",45.30957,12.07376
746,2407,"Scaltenigo Formigo",45.46986,12.093793
